flight1,flight2
SEA-SFO,SFO-PIT
SEA-SFO,SFO-ANC
SEA-SFO,SFO-RDU
SEA-SFO,SFO-AUS
SEA-SFO,SFO-STL
SEA-SFO,SFO-PHX
SEA-SFO,SFO-DFW
SEA-SFO,SFO-HNL
SEA-SFO,SFO-ATL
SEA-SFO,SFO-MCO
SEA-SFO,SFO-SEA
SEA-SFO,SFO-FLL
SEA-SFO,SFO-IND
SEA-SFO,SFO-EWR
SEA-SFO,SFO-LIH
SEA-SFO,SFO-LAS
SEA-SFO,SFO-OGG
SEA-SFO,SFO-ORD
SEA-SFO,SFO-SAN
SEA-SFO,SFO-LAX
SEA-SFO,SFO-DEN
SEA-SFO,SFO-PSP
SEA-SFO,SFO-DCA
SEA-SFO,SFO-BOS
SEA-SFO,SFO-BWI
SEA-SFO,SFO-MSP
SEA-SFO,SFO-KOA
SEA-SFO,SFO-JFK
SEA-SFO,SFO-PDX
SEA-SFO,SFO-MSY
SEA-SFO,SFO-IAH
SEA-SFO,SFO-IAD
SEA-SFO,SFO-SLC
SEA-SFO,SFO-RNO
SEA-SFO,SFO-SNA
PHX-EWR,EWR-SAN
PHX-EWR,EWR-SEA
PHX-EWR,EWR-DEN
PHX-EWR,EWR-CLE
PHX-EWR,EWR-BZN
PHX-EWR,EWR-SAT
PHX-EWR,EWR-SNA
PHX-EWR,EWR-MIA
PHX-EWR,EWR-IAH
PHX-EWR,EWR-SFO
PHX-EWR,EWR-TPA
PHX-EWR,EWR-PBI
PHX-EWR,EWR-PHX
PHX-EWR,EWR-BQN
PHX-EWR,EWR-BOS
PHX-EWR,EWR-MCO
PHX-EWR,EWR-FLL
PHX-EWR,EWR-RDU
PHX-EWR,EWR-PDX
PHX-EWR,EWR-DFW
PHX-EWR,EWR-LAX
PHX-EWR,EWR-ATL
PHX-EWR,EWR-LAS
PHX-EWR,EWR-ORD
PHX-EWR,EWR-MSP
PHX-EWR,EWR-MSY
PHX-EWR,EWR-AUS
PHX-EWR,EWR-SJU
PHX-EWR,EWR-RSW
CLE-IAH,IAH-MFE
CLE-IAH,IAH-BOS
CLE-IAH,IAH-DEN
CLE-IAH,IAH-SLC
CLE-IAH,IAH-TPA
CLE-IAH,IAH-SMF
CLE-IAH,IAH-MSY
CLE-IAH,IAH-LAS
CLE-IAH,IAH-EWR
CLE-IAH,IAH-LAX
CLE-IAH,IAH-SEA
CLE-IAH,IAH-MCO
CLE-IAH,IAH-SAT
CLE-IAH,IAH-MCI
CLE-IAH,IAH-ATL
