Airline,Departure,Arrival,NoControl,LQR,Saved
UA,EWR,SAT,1525.0099670139443,1060.2735228070178,464.73644420692654
UA,BNA,IAH,714.8082813432164,165.90986396890716,548.8984173743092
UA,BZN,ORD,812.0569430563701,425.94645313235986,386.1104899240102
UA,CLE,LAX,509.7492745415411,583.3571447825292,-73.60787024098806
UA,TPA,CLE,108.58342377099538,91.64782699322564,16.935596777769746
UA,CLE,LAS,532.7713295170013,370.15763185469785,162.61369766230342
UA,SFO,SEA,912.295560608669,318.559102235197,593.736458373472
UA,EWR,SFO,1000.7530699789816,1115.4559237002375,-114.7028537212559
UA,PIT,IAH,561.6145543292245,331.891451184962,229.72310314426244
UA,IAH,PIT,743.1274535400673,412.4380427246928,330.6894108153745
UA,STL,SFO,1669.9846983505352,1169.5241886716387,500.4605096788964
UA,PIT,SFO,320.33369309814873,618.0728547867911,-297.7391616886424
UA,OGG,SFO,691.1042629985627,586.1067572985842,104.99750569997855
UA,IND,IAH,352.1331042518742,248.58583411746733,103.54727013440689
UA,ATL,IAH,1179.9218550101978,293.7047415604012,886.2171134497966
UA,SEA,DEN,741.761282487232,345.50890711139107,396.252375375841
UA,DEN,LAX,1059.5628821876496,474.6102349433016,584.9526472443481
UA,IAH,IAD,772.0664719308204,468.38391812865495,303.68255380216544
UA,DEN,LAS,669.5376653572365,284.66573047492284,384.87193488231367
UA,LAX,JFK,388.30336698711994,433.0865456679889,-44.78317868086896
UA,DEN,SFO,951.6149322862922,360.40601321226546,591.2089190740267
UA,SFO,MSP,901.408498231029,1039.8787020383693,-138.47020380734034
UA,DEN,ABQ,908.3697110241955,236.37782920469357,671.9918818195019
UA,SFO,MSY,829.2135982161254,818.514573908566,10.699024307559398
UA,DEN,BOS,774.3485680479511,589.1352303476206,185.2133377003305
UA,DEN,BOI,860.1801557341014,381.4738987223226,478.7062570117788
UA,SFO,SLC,889.4125813118322,318.3271999676624,571.0853813441698
UA,ORD,BWI,1042.825722500581,376.2285334378412,666.5971890627397
UA,LAX,BOS,364.23335127794934,694.1263270547946,-329.8929757768453
UA,IAD,BOS,780.72347528103,181.5520305698457,599.1714447111843
UA,EWR,ATL,834.6468168930444,421.38970754716985,413.25710934587454
UA,LAX,LIH,839.6459992572641,895.7476575017062,-56.10165824444209
UA,ORD,SAT,1404.9144133456603,1096.2267574275495,308.68765591811075
UA,SAT,ORD,360.36843118449616,163.65157165408417,196.716859530412
UA,JAX,EWR,423.8547749183508,131.7858776844071,292.06889723394374
UA,IAD,IAH,804.5014051102897,608.0160993910548,196.48530571923493
UA,IAD,DFW,747.0161713258298,642.9175433911881,104.09862793464163
UA,SFO,HNL,1286.5110997307845,1317.717082488928,-31.20598275814359
UA,LGA,IAH,862.2391189854977,289.60754183511557,572.6315771503821
UA,ORD,PSP,608.3218392622363,395.6391148325359,212.6827244297004
UA,SEA,LAX,620.362964992823,372.44728260869573,247.91568238412725
UA,IAD,ORD,692.0472131320598,281.11506691910944,410.9321462129504
UA,HNL,SFO,781.1743408232124,579.2017404717592,201.97260035145325
UA,TPA,ORD,541.8490467179877,284.91696244574536,256.9320842722423
UA,IAH,LGA,649.3574182189802,418.1477508424685,231.20966737651173
UA,LAX,MCO,494.91686254933825,499.31476551691236,-4.397902967574112
UA,MCO,CLE,366.82776460779235,158.86314710042436,207.964617507368
UA,SAN,EWR,406.01482943436423,438.5610114140549,-32.54618197969069
UA,ORD,SJU,619.5851688060687,798.5306508714597,-178.94548206539093
UA,STT,ORD,497.7570287539936,1063.6535735735738,-565.8965448195802
UA,ORD,EWR,1427.0507595945421,356.110932479156,1070.9398271153862
UA,BOS,ORD,721.5918339410875,271.89680556990714,449.6950283711804
UA,EWR,MSP,1762.4494345715877,1015.7730120032506,746.6764225683371
UA,MDT,ORD,697.448572507678,166.72753483709272,530.7210376705852
UA,OMA,ORD,1108.4981782331422,310.70232017732013,797.795858055822
UA,BNA,DEN,809.3075233137521,242.93138528138527,566.3761380323668
UA,DEN,GEG,782.0870475663853,426.91710269112326,355.16994487526205
UA,DEN,ANC,949.7595527692703,1457.9120019149448,-508.1524491456745
UA,SMF,IAH,559.3992043333191,386.4173529200528,172.98185141326627
UA,ORD,AUS,881.4102691018629,494.1269875160539,387.28328158580905
UA,HNL,ORD,440.5327964002163,631.4449824645307,-190.91218606431437
UA,DEN,IND,443.5346425577342,308.00606554408836,135.52857701364582
UA,STT,EWR,932.2159092830036,871.1303602410737,61.08554904192988
UA,IAD,LAX,755.423284815472,861.1154979764536,-105.69221316098162
UA,SJU,IAD,659.8508624832831,535.1160125791582,124.73484990412487
UA,MCO,EWR,840.3632383017224,206.67962542390597,633.6836128778164
UA,SJU,IAH,883.4631821008647,528.5248338906314,354.93834821023336
UA,IAD,LAS,584.136464025008,628.5453228717796,-44.408858846771636
UA,RDU,SFO,587.5841165566228,548.8396356447273,38.744480911895494
UA,JFK,LAX,538.6062749566389,401.71311505825736,136.89315989838155
UA,ORD,BTV,848.5056791215486,240.0730122818358,608.4326668397129
UA,ORD,TPA,1191.176546345975,632.7647801364573,558.4117662095179
