Airline,Departure,Arrival,NoControl,LQR,Saved
UA,ORD,SAT,1396.8201896754313,577.8258811933788,818.9943084820525
UA,SAT,ORD,351.71271429644287,88.79356179389421,262.9191525025486
UA,JAX,EWR,403.2557344311199,78.16464562136284,325.091088809757
UA,IAD,IAH,788.9551623104838,326.1673245541346,462.78783775634923
UA,IAD,DFW,744.010574700282,349.57840486793117,394.4321698323508
UA,SFO,HNL,1278.3283925525147,697.6367624833053,580.6916300692094
UA,LGA,IAH,764.1933129625484,177.52480038977714,586.6685125727712
UA,ORD,PSP,606.4329174972216,215.37888794410375,391.05402955311786
UA,SEA,LAX,617.0878841397073,191.3213753672811,425.76650877242616
UA,IAD,ORD,671.1819642443218,148.42085879683424,522.7611054474876
UA,HNL,SFO,763.7294693954249,330.3587058590608,433.37076353636405
UA,TPA,ORD,521.9741029947727,158.16330029241328,363.8108027023594
UA,IAH,LGA,608.5478419303136,239.43062432006406,369.1172176102495
UA,LAX,MCO,490.7774255129231,268.1008453312911,222.676580181632
UA,MCO,CLE,357.21509387064344,85.5563681748059,271.6587256958376
UA,SAN,EWR,396.61844854888346,236.98973104833675,159.6287175005467
UA,ORD,SJU,618.1391535471488,410.2680606163217,207.8710929308271
UA,STT,ORD,497.7570287539936,477.8271280725003,19.929900681493336
UA,ORD,EWR,1242.8904924946632,220.2220476910404,1022.6684448036228
UA,BOS,ORD,657.084707006121,168.59601212972575,488.48869487639524
UA,EWR,MSP,1760.7000753131213,527.8070666906173,1232.893008622504
UA,MDT,ORD,665.5945018897415,87.65465174275876,577.9398501469827
UA,OMA,ORD,1050.4491955487222,163.70746661281765,886.7417289359046
UA,BNA,DEN,805.2754396162363,119.20343152927055,686.0720080869658
UA,DEN,GEG,765.2673983331371,230.3844043783434,534.8829939547936
UA,DEN,ANC,940.8077362263105,733.735637630843,207.07209859546742
UA,SMF,IAH,540.7163589603625,219.21102647130414,321.5053324890584
UA,ORD,AUS,867.0456968849998,263.11703936124144,603.9286575237584
UA,HNL,ORD,438.8997108803179,324.9028600224566,113.99685085786132
UA,DEN,IND,440.37726922091423,160.2263720667047,280.15089715420953
UA,STT,EWR,932.2159092830036,458.8708303564011,473.3450789266025
UA,IAD,LAX,724.416755965063,461.67130897149565,262.7454469935673
UA,SJU,IAD,645.0403150922276,294.09832429495737,350.94199079727025
UA,MCO,EWR,744.3202310977941,142.8910347701312,601.4291963276629
UA,SJU,IAH,828.2284175327269,328.7857089934996,499.4427085392273
UA,IAD,LAS,575.8555571869226,330.0246229569467,245.83093422997592
UA,RDU,SFO,573.1076267246124,297.9712277383289,275.1363989862835
UA,JFK,LAX,524.9133091309819,230.61770649642835,294.2956026345536
UA,ORD,BTV,845.9744715622379,116.24955286578987,729.7249186964481
UA,ORD,TPA,1159.0305242527375,335.44834686406176,823.5821773886757
